ID,BOOK,MODEL_YEAR,PLANT_CODE,PACKAGE,COLOR,MODEL,UPC,FNA,COMPONENT_VARIANT_NUMBER,COUNTER,BOM_PATH,COMPONENT_MATERIAL_NUMBER,VALID_FROM_DATE,VALID_TO_DATE,PACKAGE_DESC,COLOR_DESC,MODEL_DESC,COMPONENT_MATERIAL_DESC_C,COMPONENT_MATERIAL_DESC_E,HAND,USAGE_QTY,UNIT_OF_MEASURE,USAGE_STATUS,AR_EM_MATERIAL_FLAG,WORKSHOP,SUPPLY_AREA,DUNS_NUMBER,VENDOR_NAME,EWO_NUMBER,MODEL_CODE,MODEL_OPTION,OPTIONAL_PART_GROUP,OPTIONAL_PART_RELATED,FAMILY_ADDRESS,BROADCAST_CODE,DORMANT_STATUS,DELETION_FLAG,LOADED_DATE,LAST_UPDATED_DATE,COMPONENT_VARIANT_NAME,HEADER_PART_NUMBER,STRUCTURE_NODE_DESC_E,STRUCTURE_NODE_DESC_C,ALTERNATIVE_EWO_NUMBER,ORDER_SAMPLE,OS_FLAG,SPECIAL_PROCUREMENT_TYPE,MATERIAL_STATUS,ENGINEER_CODE,REPLACEMENT,VPPS
11,EH,2018,DY10,4JJE,GJX,1HC69,1A2B,X0042,40F2E913A9E51ED6B3D31088E455DEF5_SQR210,00000001,@262368282017010126236828@1702017040111516836,11516836,20170401,99991231,4JJE,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 MID SEC69,螺母总成,NUT ASM-HEX AND FLAT WASHER AND METRIC H,,3,EA,A,,,,0545243776_SQR210,上海纳特汽车标准件有限公司,,AF0W,1 HC 69\&M72&CF5&KL9&MAO&4A7-XFP.,,,,,,,43004.21772,43004.21772,V135/0070,26236828,NUT ASM-HEX AND FLAT WASHER AND METRIC H,螺母总成,,OS1,1,30,,,,411(Interior)
12,EH,2018,DY10,443T,G8B,1HD69,10B,X0023,40F2E913A9E51EE6B2E2823944975B9D_SQR210,00000001,@908707172017010190870717@1120201401249045343,9045343,20170101,99991231,443T,"PRIMARY COLOR EXTERIOR, A G8B",CHEVROLET SGM318/328 HIGH SD69,40克车轮平衡块,WEIGHT-40 GRAM WHL BAL,,3552,EA,A,,,,0545273120_SQR210,上海新明源汽车配件有限公司,EH8YJTSJF__SQR210,ADHD,1 HCHD 69\&CZ2&RNA&RRD-UJO.,,,,,,,43004.21772,43004.21772,V002/0120,90870717,WEIGHT-40 GRAM WHL BAL,40克车轮平衡块,,OS1,1,30,,,,231(Chassis)
13,EH,2018,DY10,443T,G8B,1HD69,10B,X0023,40F2E913A9E51EE6B2E2823944975B9D_SQR210,00000001,@908707172017010190870717@1130201401249045344,9045344,20170101,99991231,443T,"PRIMARY COLOR EXTERIOR, A G8B",CHEVROLET SGM318/328 HIGH SD69,45克车轮平衡块,WEIGHT-45 GRAM WHL BAL,,3552,EA,A,,,,0545273120_SQR210,上海新明源汽车配件有限公司,EH8YJTSJF__SQR210,ADHD,1 HCHD 69\&CZ2&RNA&RRD-UJO.,,,,,,,43004.21772,43004.21772,V002/0130,90870717,WEIGHT-45 GRAM WHL BAL,45克车轮平衡块,,OS1,1,30,,,,231(Chassis)
14,EH,2018,DY10,44JL,GIY,1HD69,1A2B,X0042,40F2E913A9E51ED6B3D311D75D9BDEF5_SQR210,00000001,@262368442017010126236844@15802017040111588293,11588293,20170401,99991231,44JL,"PRIMARY COLOR EXTERIOR, GALGIY",CHEVROLET SGM318/328 HIGH SD69,转向柱螺母,NUT-HX FLG W/NYLON INSERT,,2,EA,A,,,,0160156212_SQR210,SAIC USA INC.,,AF2J,1 HD 69\&M89&KL9&MAO&4A7-XFE.,,,,,,,43004.21772,43004.21772,V151/0580,26236844,NUT-HX FLG W/NYLON INSERT,转向柱螺母,,OS1,1,30,,,,411(Interior)
15,EH,2018,DY10,44JL,GIY,1HD69,1A2B,X0042,40F2E913A9E51ED6B3D311D75D9BDEF5_SQR210,00000001,@262368442017010126236844@1602017040126229742,26229742,20170401,99991231,44JL,"PRIMARY COLOR EXTERIOR, GALGIY",CHEVROLET SGM318/328 HIGH SD69,MODULE ASM-BODY CONT,MODULE ASM-BODY CONT,,1,EA,A,,,,0654406818_SQR210,联合汽车电子有限公司,,AF2J,1 HD 69\&M89&KL9&MAO&4A7-XFE.,,,,,,,43004.21772,43004.21772,V151/0060,26236844,MODULE ASM-BODY CONT,MODULE ASM-BODY CONT,,OS1,1,30,,,,411(Interior)
16,EH,2018,DY10,443P,GAZ,1HD69,1C5M,0790A,40F2E913A9E51EE6B2E25FF21479DB9D_SQR210,00000001,@262131582017010126213158@1102016041926207468,26207468,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,后侧门车窗开关总成 *墨黑,SWITCH ASM-RR S/D WDO,,1,EA,I,,,,0530620350_SQR210,温州长江汽车电子有限公司,EH8YJTSJF__SQR210,ABGD,1 HD 69\&TH0&4A7.,,,,,,,43004.21772,43004.21772,V018/0010,26213158,SWITCH ASM-RR S/D WDO,后侧门车窗开关总成 *墨黑,,OS1,1,30,,,,432.10(Interior)
17,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@11002016051626200388,26200388,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,仪表板线束伸长件总成,HARNESS ASM-I/P WRG HARN EXTN,,1,EA,I,,,,0545247504_SQR210,德尔福派克电气系统有限公司烟台分公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0100,26218635,HARNESS ASM-I/P WRG HARN EXTN,仪表板线束伸长件总成,,OS1,1,30,,,,411(Interior)
18,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@12402016051690802360,90802360,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,仪表板侧饰板 *,PANEL-I/P SI TR<SEE GUIDE/CONTACT BFO>,,1,EA,I,,,,0724112821_SQR210,上海延锋金桥汽车饰件系统有限公司烟台分公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0240,26218635,PANEL-I/P SI TR<SEE GUIDE/CONTACT BFO>,仪表板侧饰板 *,,OS1,1,30,,,,411(Interior)
19,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@12702016051626682963,26682963,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,COMPARTMENT ASM-I/P,COMPARTMENT ASM-I/P,,1,EA,I,,,,0724112821_SQR210,上海延锋金桥汽车饰件系统有限公司烟台分公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0270,26218635,COMPARTMENT ASM-I/P,COMPARTMENT ASM-I/P,,OS1,1,30,,,,411(Interior)
20,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@1440201605169030397,9030397,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,螺栓 六角 带粘合剂 M6X1X20,BOLT HEXAGON WITH ADHESIVE M6X1X20,,2,EA,I,,,,0421298612_SQR210,宁波长华长盛汽车零部件有限公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0440,26218635,BOLT HEXAGON WITH ADHESIVE M6X1X20,螺栓 六角 带粘合剂 M6X1X20,,OS1,1,30,,,,411(Interior)
21,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@14702016051690925398,90925398,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,点火 & 起动开关总成 *,SWITCH ASM-IGN & START,,1,EA,I,,,,0530620350_SQR210,温州长江汽车电子有限公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0470,26218635,SWITCH ASM-IGN & START,点火 & 起动开关总成 *,,OS1,1,30,,,,411(Interior)
22,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@1500201605169046803,9046803,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,点火锁芯控制电磁阀螺栓/螺钉,BOLT/SCREW-IGN LK CYL CONT SOL,,2,EA,I,,,,0545263332_SQR210,浙江致威电子科技有限公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0500,26218635,BOLT/SCREW-IGN LK CYL CONT SOL,点火锁芯控制电磁阀螺栓/螺钉,,OS1,1,30,,,,411(Interior)
23,EH,2018,DY10,443P,GAZ,1HD69,1A2B,X0042,40F2E913A9E51EE6B2E262F7ECE01B9D_SQR210,00000001,@262186352017010126218635@1602016051626685650,26685650,20170101,20170101,443P,"PRIMARY COLOR EXTERIOR, SUMGAZ",CHEVROLET SGM318/328 HIGH SD69,MODULE ASM-BODY CONT,MODULE ASM-BODY CONT,,1,EA,I,,,,0654406818_SQR210,联合汽车电子有限公司,EH8YJTSJF__SQR210,AFC6,1 HD 69\&MA3&AVV&KL9&VDO&4A7.,,,,,,,43004.21772,43004.21772,V078/0060,26218635,MODULE ASM-BODY CONT,MODULE ASM-BODY CONT,,OS1,1,30,,,,411(Interior)
24,EH,2018,DY10,443P,GIY,1HD69,1C5J,0050A,40F2E913A9E51EE6B2E2657CC6265B9D_SQR210,00000001,@262339252017010126233925@1302017022396869113,96869113,20170223,99981231,443P,"PRIMARY COLOR EXTERIOR, GALGIY",CHEVROLET SGM318/328 HIGH SD69,后门外板强化板,STIFFENER-RR S/D OTR PNL,,1,EA,A,,,,0545316051_SQR210,汉高(江苏)汽车零部件有限公司,,ACQ1,1 HBHCHD 69\&CZ2&TH0.,,,,,,,43004.21772,43004.21772,V003/0030,26233925,STIFFENER-RR S/D OTR PNL,后门外板强化板,,OS1,1,30,,,,C11.01.01(Body Closure)
25,EH,2018,DY10,4JJH,G8B,1HC69,3,X0010,40F2E913A9E51EE6BED3C76408571D5C_SQR210,00000001,@262399882017050126239988@1100201704019064161,9064161,20170501,99991231,4JJH,"PRIMARY COLOR EXTERIOR, A G8B",CHEVROLET SGM318/328 MID SEC69,前制动盘,ROTOR-FRT BRK,,1,EA,A,,,,0654272491_SQR210,上海汇众汽车制造有限公司,EH8YJYSGW__SQR210,ACMJ,1 HBHCHD 69\&MA3/MA4/M72&CZ2&JM4/J97.,,,,,,,43004.21772,43004.21772,V019/0100,26239988,ROTOR-FRT BRK,前制动盘,,OS1,1,30,,,,221(Chassis)
26,EH,2018,DY10,4JJH,G8B,1HC69,3,X0010,40F2E913A9E51EE6BED3C76408571D5C_SQR210,00000001,@262399882017050126239988@110201704019066127,9066127,20170501,99991231,4JJH,"PRIMARY COLOR EXTERIOR, A G8B",CHEVROLET SGM318/328 MID SEC69,转向节,KNUCKLE-STRG,,1,EA,A,,,,0420101818_SQR210,富士和机械工业（昆山）有限公司,EH8YJYSGW__SQR210,ACMJ,1 HBHCHD 69\&MA3/MA4/M72&CZ2&JM4/J97.,,,,,,,43004.21772,43004.21772,V019/0010,26239988,KNUCKLE-STRG,转向节,,OS1,1,30,,,,221(Chassis)
27,EH,2018,DY10,4JJH,G8B,1HC69,3,X0010,40F2E913A9E51EE6BED3C76408571D5C_SQR210,00000001,@262399882017050126239988@1150201704019047593,9047593,20170501,99991231,4JJH,"PRIMARY COLOR EXTERIOR, A G8B",CHEVROLET SGM318/328 MID SEC69,前制动软管螺栓/螺钉,BOLT/SCREW-FRT BRK HOSE,,1,EA,A,,,,0527702880_SQR210,上海上标汽车紧固件有限公司,EH8YJYSGW__SQR210,ACMJ,1 HBHCHD 69\&MA3/MA4/M72&CZ2&JM4/J97.,,,,,,,43004.21772,43004.21772,V019/0150,26239988,BOLT/SCREW-FRT BRK HOSE,前制动软管螺栓/螺钉,,OS1,1,30,,,,221(Chassis)
28,EH,2018,DY10,44JJ,GIR,1HD69,1C3,X0015,40F2E913A9E51EE6B2E2719C698BDB9D_SQR210,00000001,@266817592017010126681759@1102015071426681772,26681772,20170101,20170101,44JJ,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,车顶线束总成,HARNESS ASM-RF WRG,,1,EA,I,,,,0545247504_SQR210,德尔福派克电气系统有限公司烟台分公司,EH8YJTSJF__SQR210,AB7N,1 HBHCHD 69\&ATG&CF5&IO8/UHP&MOE&TH0&4A7.,,,,,,,43004.21772,43004.21772,V009/0010,26681759,HARNESS ASM-RF WRG,车顶线束总成,,OS1,1,30,,,,433(Interior)
29,EH,2018,DY10,44JJ,GIR,1HD69,1C3,X0015,40F2E913A9E51EE6B2E2719C698BDB9D_SQR210,00000001,@266817592017010126681759@150201504249985744,9985744,20170101,20170101,44JJ,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,顶衬粘合剂,ADHESIVE-HDLNG T/PNL,,888,EA,I,,,,0544696297_SQR210,上海德联化工有限公司,EH8YJTSJF__SQR210,AB7N,1 HBHCHD 69\&ATG&CF5&IO8/UHP&MOE&TH0&4A7.,,,,,,,43004.21772,43004.21772,V009/0050,26681759,ADHESIVE-HDLNG T/PNL,顶衬粘合剂,,OS1,1,30,,,,433(Interior)
30,EH,2018,DY10,44JJ,GIY,1HD69,9B,0050A,40F2E913A9E51EE6B2E27885D2549B9D_SQR210,00000001,@266923172017010126692317@1102016031026673664,26673664,20170101,99991231,44JJ,"PRIMARY COLOR EXTERIOR, GALGIY",CHEVROLET SGM318/328 HIGH SD69,收音机控制开关总成,SWITCH ASM-RDO CONT,,1,EA,A,,,,0530620350_SQR210,温州长江汽车电子有限公司,EH8YJTSJF__SQR210,ADBS,1 HCHDHG 69\&NJ1&N52&TH0&W1Y&4A7.,,,,,,,43004.21772,43004.21772,V010/0010,26692317,SWITCH ASM-RDO CONT,收音机控制开关总成,,OS1,1,30,,,,414.01(Interior)
31,EH,2018,DY10,44JK,GIR,1HD69,3,X0009,40F2E913A9E51EE6BED3C49EEF561D5C_SQR210,00000001,@262399822017050126239982@1160201704019064350,9064350,20170501,99991231,44JK,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,GEAR ASM-R/PINION STRG,GEAR ASM-R/PINION STRG,,1,EA,A,,,,0421268964_SQR210,博世华域转向系统(烟台)有限公司,EH8YJYSGW__SQR210,AC5Z,1 HBHCHD 69\&M18&CZ2&NJ1.,,,,,,,43004.21772,43004.21772,V007/0160,26239982,GEAR ASM-R/PINION STRG,GEAR ASM-R/PINION STRG,,OS1,1,30,,,,221(Chassis)
32,EH,2018,DY10,44JK,GIR,1HD69,3,X0009,40F2E913A9E51EE6BED3C49EEF561D5C_SQR210,00000001,@262399822017050126239982@1502017040111516078,11516078,20170501,99991231,44JK,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,发动机支座框架侧螺母,NUT,,2,EA,A,,,,0545243776_SQR210,上海纳特汽车标准件有限公司,EH8YJYSGW__SQR210,AC5Z,1 HBHCHD 69\&M18&CZ2&NJ1.,,,,,,,43004.21772,43004.21772,V007/0050,26239982,NUT,发动机支座框架侧螺母,,OS1,1,30,,,,221(Chassis)
33,EH,2018,DY10,44JK,GIR,1HD69,3,X0010,40F2E913A9E51EE6BED3C9F7CF6E5D5C_SQR210,00000001,@262399932017050126239993@1402017040126674008,26674008,20170501,99991231,44JK,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,前轮轴承卡环,RING-FRT WHL BRG RET,,1,EA,A,,,,,,EH8YJYSGW__SQR210,AC3H,1 HBHCHD 69\&M18&CZ2.,,,,,,,43004.21772,43004.21772,V024/0040,26239993,RING-FRT WHL BRG RET,前轮轴承卡环,,OS1,1,30,,,,221(Chassis)
34,EH,2018,DY10,44JK,GIR,1HD69,3,X0010,40F2E913A9E51EE6BED3C9F7CF6E5D5C_SQR210,00000001,@262399932017050126239993@1502017040126698966,26698966,20170501,99991231,44JK,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,STRUT ASM-FRT SUSP (W/ SPR),STRUT ASM-FRT SUSP (W/ SPR),,1,EA,A,,,,0420553604_SQR210,天津天德减震器有限公司,EH8YJYSGW__SQR210,AC3H,1 HBHCHD 69\&M18&CZ2.,,,,,,,43004.21772,43004.21772,V024/0050,26239993,STRUT ASM-FRT SUSP (W/ SPR),STRUT ASM-FRT SUSP (W/ SPR),,OS1,1,30,,,,221(Chassis)
35,EH,2018,DY10,44JM,GIR,1HD69,11D,0050A,40F2E913A9E51EE6B2E27013538E5B9D_SQR210,00000001,@266784102017010126678410@1402014121426263696,26263696,20170101,99991231,44JM,PRIMARY COLOR SATIN STEEL GIR,CHEVROLET SGM318/328 HIGH SD69,发动机舱盖主锁闩锁扣加强件总成,REINFORCEMENT ASM-HOOD PRIM LAT STKR,,1,EA,A,,,,0545318404_SQR210,莱州新亚通金属制造有限公司,EH8YJTSJF__SQR210,AAJZ,1 HBHCHD 69\&TH0-VE0.,,,,,,,43004.21772,43004.21772,V001/0040,26678410,REINFORCEMENT ASM-HOOD PRIM LAT STKR,发动机舱盖主锁闩锁扣加强件总成,,OS1,1,30,,,,C31.01.01(Body Closure)
36,EH,2018,DY10,443O,GJX,1HD69,10B,X0028,40F2E913A9E51EE6B2E2822964EB5B9D_SQR210,00000001,@908707152017010190870715@140201401249986272,9986272,20170101,99991231,443O,"PRIMARY COLOR EXTERIOR, BLUGJX",CHEVROLET SGM318/328 HIGH SD69,轮胎边缘及气门芯润滑剂,LUBRICANT-TIRE BEAD & VLV STEM,,888,EA,A,,,,0654523430_SQR210,汉高股份有限公司,EH8YJTSJF__SQR210,AAZC,1 HBHCHD 69\&RM9&ZAP.,,,,,,,43004.21772,43004.21772,V002/0040,90870715,LUBRICANT-TIRE BEAD & VLV STEM,轮胎边缘及气门芯润滑剂,,OS1,1,30,,,,
37,EH,2018,DY10,443P,G8B,1HD69,1A2K,0025A,40F2E913A9E51EE6B2E276DE4AB01B9D_SQR210,00000001,@266902062017010126690206@1102016040613587668,13587668,20170101,99991231,443P,"PRIMARY COLOR EXTERIOR, A G8B",CHEVROLET SGM318/328 HIGH SD69,空调制冷剂压力传感器总成,SENSOR ASM-A/C REFRIG PRESS,,1,EA,A,,,,0545266181_SQR210,森萨塔科技(常州)有限公司,EH8YJVFNS__SQR210,ABC7,"1 HBHCHD 4669\&C34/C60/C68&TH0.,1 HEHFHG 69\&C34/C60/C68&TH0.",,,,,,,43004.21772,43004.21772,V002/0010,26690206,SENSOR ASM-A/C REFRIG PRESS,空调制冷剂压力传感器总成,,OS1,1,30,,,,312.98(HVAC & Powertrain Cooling)
